Depth,Sample,Permeability,lPerm,Porosity,PRT,ROCK_INDEX,G1,PD1,G2,PD2,BV1,BV2,Mode,lMode,Reference_Set,Pc,lPc,BVOCC,lBVOCC,dBv,Microns,lMicrons
88,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,6594.56,3.81918582399962,20.1644089447605,1.30458549657468,0.483716363170391,0.032147709627329,-1.49284996307087
89,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,13189.12,4.12021581966361,20.5613879777076,1.31305242796495,0.396979032947144,0.016073854813665,-1.79387995873485
90,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,26378.24,4.42124581532759,20.8953234070541,1.32004909731798,0.333935429346546,0.008036927406832,-2.09490995439883
91,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,1.61,0.20682587603185,0.001209460350534,-2.91740836444675,0,131.67701863354,2.1195099848969
92,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,3.22,0.507855871695831,3.38887885463455,0.530056043991078,3.38766939428401,65.8385093167702,1.81847998923292
93,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,6.44,0.808885867359812,8.57658566639448,0.933314429881198,5.18770681175993,32.9192546583851,1.51744999356894
94,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,12.88,1.10991586302379,12.1755986711623,1.08549032456348,3.59901300476783,16.4596273291925,1.21641999790496
95,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,25.76,1.41094585868777,14.6355622153828,1.16540941022376,2.45996354422046,8.22981366459627,0.915390002240977
96,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,51.52,1.71197585435176,16.3931165961481,1.21466152781322,1.75755438076536,4.11490683229814,0.614360006576996
97,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,103.04,2.01300585001574,17.7034003724556,1.24805669128613,1.31028377630746,2.05745341614907,0.313330010913015
